id,text,label,language,source_tag
26,"Baridnet yestana confirmation 2FA, 3abbi code li jek fil SMS fi hadh el page. [variant-26]",phishing,darija,tn_curated_manual
27,"Amende circulation b ismek, khallas bel carte fil portail hedha fel wa9t. [variant-27]",phishing,darija,tn_curated_manual
28,"CNAM carte so7iya m3attla, raw update obligatoire men lien el mou9tarah. [variant-28]",phishing,darija,tn_curated_manual
29,"Douane tounsia andha colis b ismek, paye frais sghira bach yetsallem. [variant-29]",phishing,darija,tn_curated_manual
30,"Steg facture متأخرة, d5ol lel espace client hedha w khalles taw. [variant-30]",phishing,darija,tn_curated_manual
31,"3andek mushkla fil compte Poste Tunisienne, d5ol taw b lien hedha w confirm. [variant-31]",phishing,darija,tn_curated_manual
32,BIAT wallet mta3ek mawjoud fih ta7dith lazem t7ell lien fil message taw. [variant-32],phishing,darija,tn_curated_manual
33,"Tunisie Telecom 5ater facture ma t5allsetch, click hna bach ma yet9assch l ligne. [variant-33]",phishing,darija,tn_curated_manual
34,"Ooredoo points rab7et bon achat, sarrifhom tawa men site hedha. [variant-34]",phishing,darija,tn_curated_manual
35,"STB compte yetla3 fih risque, a3mel verification b CIN w mot de passe hneya. [variant-35]",phishing,darija,tn_curated_manual
36,"Baridnet yestana confirmation 2FA, 3abbi code li jek fil SMS fi hadh el page. [variant-36]",phishing,darija,tn_curated_manual
37,"Amende circulation b ismek, khallas bel carte fil portail hedha fel wa9t. [variant-37]",phishing,darija,tn_curated_manual
38,"CNAM carte so7iya m3attla, raw update obligatoire men lien el mou9tarah. [variant-38]",phishing,darija,tn_curated_manual
39,"Douane tounsia andha colis b ismek, paye frais sghira bach yetsallem. [variant-39]",phishing,darija,tn_curated_manual
40,"Steg facture متأخرة, d5ol lel espace client hedha w khalles taw. [variant-40]",phishing,darija,tn_curated_manual
41,"3andek mushkla fil compte Poste Tunisienne, d5ol taw b lien hedha w confirm. [variant-41]",phishing,darija,tn_curated_manual
42,BIAT wallet mta3ek mawjoud fih ta7dith lazem t7ell lien fil message taw. [variant-42],phishing,darija,tn_curated_manual
43,"Tunisie Telecom 5ater facture ma t5allsetch, click hna bach ma yet9assch l ligne. [variant-43]",phishing,darija,tn_curated_manual
44,"Ooredoo points rab7et bon achat, sarrifhom tawa men site hedha. [variant-44]",phishing,darija,tn_curated_manual
45,"STB compte yetla3 fih risque, a3mel verification b CIN w mot de passe hneya. [variant-45]",phishing,darija,tn_curated_manual
46,"Baridnet yestana confirmation 2FA, 3abbi code li jek fil SMS fi hadh el page. [variant-46]",phishing,darija,tn_curated_manual
47,"Amende circulation b ismek, khallas bel carte fil portail hedha fel wa9t. [variant-47]",phishing,darija,tn_curated_manual
48,"CNAM carte so7iya m3attla, raw update obligatoire men lien el mou9tarah. [variant-48]",phishing,darija,tn_curated_manual
49,"Douane tounsia andha colis b ismek, paye frais sghira bach yetsallem. [variant-49]",phishing,darija,tn_curated_manual
50,"Steg facture متأخرة, d5ol lel espace client hedha w khalles taw. [variant-50]",phishing,darija,tn_curated_manual
51,تم رصد محاولة دخول غير معتادة على حسابك في البنك، يرجى تأكيد الهوية عبر الرابط. [variant-1],phishing,arabic,tn_curated_manual
52,بطاقتك البنكية ستتوقف خلال ساعات، قم بالتحديث الفوري من الصفحة التالية. [variant-2],phishing,arabic,tn_curated_manual
53,لديك طرد معلق في الجمارك التونسية، ادفع رسوم المعالجة الآن لتفادي الإرجاع. [variant-3],phishing,arabic,tn_curated_manual
54,منظومة البريد التونسي تطلب التحقق الأمني، أدخل رقم البطاقة وكلمة المرور. [variant-4],phishing,arabic,tn_curated_manual
55,تم حجز مخالفة مرورية باسمك، سددها الآن عبر منصة الدفع المرفقة. [variant-5],phishing,arabic,tn_curated_manual
56,حسابك في STB يحتاج إعادة تنشيط عاجلة، اضغط الرابط وأكمل التحقق. [variant-6],phishing,arabic,tn_curated_manual
57,فزت بمكافأة من Ooredoo، لتفعيلها أدخل بياناتك البنكية في النموذج. [variant-7],phishing,arabic,tn_curated_manual
58,خدمة Tunisie Telecom ستتوقف، أكد بيانات الاشتراك فوراً. [variant-8],phishing,arabic,tn_curated_manual
59,تم تعليق ملفك في CNSS، يرجى المصادقة عبر هذا الرابط لتجنب الإيقاف. [variant-9],phishing,arabic,tn_curated_manual
60,تنبيه أمني من BIAT: قم بتغيير رمزك السري عبر البوابة الجديدة. [variant-10],phishing,arabic,tn_curated_manual
61,تم رصد محاولة دخول غير معتادة على حسابك في البنك، يرجى تأكيد الهوية عبر الرابط. [variant-11],phishing,arabic,tn_curated_manual
62,بطاقتك البنكية ستتوقف خلال ساعات، قم بالتحديث الفوري من الصفحة التالية. [variant-12],phishing,arabic,tn_curated_manual
63,لديك طرد معلق في الجمارك التونسية، ادفع رسوم المعالجة الآن لتفادي الإرجاع. [variant-13],phishing,arabic,tn_curated_manual
64,منظومة البريد التونسي تطلب التحقق الأمني، أدخل رقم البطاقة وكلمة المرور. [variant-14],phishing,arabic,tn_curated_manual
65,تم حجز مخالفة مرورية باسمك، سددها الآن عبر منصة الدفع المرفقة. [variant-15],phishing,arabic,tn_curated_manual
66,حسابك في STB يحتاج إعادة تنشيط عاجلة، اضغط الرابط وأكمل التحقق. [variant-16],phishing,arabic,tn_curated_manual
67,فزت بمكافأة من Ooredoo، لتفعيلها أدخل بياناتك البنكية في النموذج. [variant-17],phishing,arabic,tn_curated_manual
68,خدمة Tunisie Telecom ستتوقف، أكد بيانات الاشتراك فوراً. [variant-18],phishing,arabic,tn_curated_manual
69,تم تعليق ملفك في CNSS، يرجى المصادقة عبر هذا الرابط لتجنب الإيقاف. [variant-19],phishing,arabic,tn_curated_manual
70,تنبيه أمني من BIAT: قم بتغيير رمزك السري عبر البوابة الجديدة. [variant-20],phishing,arabic,tn_curated_manual
71,تم رصد محاولة دخول غير معتادة على حسابك في البنك، يرجى تأكيد الهوية عبر الرابط. [variant-21],phishing,arabic,tn_curated_manual
72,بطاقتك البنكية ستتوقف خلال ساعات، قم بالتحديث الفوري من الصفحة التالية. [variant-22],phishing,arabic,tn_curated_manual
73,لديك طرد معلق في الجمارك التونسية، ادفع رسوم المعالجة الآن لتفادي الإرجاع. [variant-23],phishing,arabic,tn_curated_manual
74,منظومة البريد التونسي تطلب التحقق الأمني، أدخل رقم البطاقة وكلمة المرور. [variant-24],phishing,arabic,tn_curated_manual
75,تم حجز مخالفة مرورية باسمك، سددها الآن عبر منصة الدفع المرفقة. [variant-25],phishing,arabic,tn_curated_manual
76,حسابك في STB يحتاج إعادة تنشيط عاجلة، اضغط الرابط وأكمل التحقق. [variant-26],phishing,arabic,tn_curated_manual
77,فزت بمكافأة من Ooredoo، لتفعيلها أدخل بياناتك البنكية في النموذج. [variant-27],phishing,arabic,tn_curated_manual
78,خدمة Tunisie Telecom ستتوقف، أكد بيانات الاشتراك فوراً. [variant-28],phishing,arabic,tn_curated_manual
79,تم تعليق ملفك في CNSS، يرجى المصادقة عبر هذا الرابط لتجنب الإيقاف. [variant-29],phishing,arabic,tn_curated_manual
80,تنبيه أمني من BIAT: قم بتغيير رمزك السري عبر البوابة الجديدة. [variant-30],phishing,arabic,tn_curated_manual
81,تم رصد محاولة دخول غير معتادة على حسابك في البنك، يرجى تأكيد الهوية عبر الرابط. [variant-31],phishing,arabic,tn_curated_manual
82,بطاقتك البنكية ستتوقف خلال ساعات، قم بالتحديث الفوري من الصفحة التالية. [variant-32],phishing,arabic,tn_curated_manual
83,لديك طرد معلق في الجمارك التونسية، ادفع رسوم المعالجة الآن لتفادي الإرجاع. [variant-33],phishing,arabic,tn_curated_manual
84,منظومة البريد التونسي تطلب التحقق الأمني، أدخل رقم البطاقة وكلمة المرور. [variant-34],phishing,arabic,tn_curated_manual
85,تم حجز مخالفة مرورية باسمك، سددها الآن عبر منصة الدفع المرفقة. [variant-35],phishing,arabic,tn_curated_manual
86,حسابك في STB يحتاج إعادة تنشيط عاجلة، اضغط الرابط وأكمل التحقق. [variant-36],phishing,arabic,tn_curated_manual
87,فزت بمكافأة من Ooredoo، لتفعيلها أدخل بياناتك البنكية في النموذج. [variant-37],phishing,arabic,tn_curated_manual
88,خدمة Tunisie Telecom ستتوقف، أكد بيانات الاشتراك فوراً. [variant-38],phishing,arabic,tn_curated_manual
89,تم تعليق ملفك في CNSS، يرجى المصادقة عبر هذا الرابط لتجنب الإيقاف. [variant-39],phishing,arabic,tn_curated_manual
90,تنبيه أمني من BIAT: قم بتغيير رمزك السري عبر البوابة الجديدة. [variant-40],phishing,arabic,tn_curated_manual
91,تم رصد محاولة دخول غير معتادة على حسابك في البنك، يرجى تأكيد الهوية عبر الرابط. [variant-41],phishing,arabic,tn_curated_manual
92,بطاقتك البنكية ستتوقف خلال ساعات، قم بالتحديث الفوري من الصفحة التالية. [variant-42],phishing,arabic,tn_curated_manual
93,لديك طرد معلق في الجمارك التونسية، ادفع رسوم المعالجة الآن لتفادي الإرجاع. [variant-43],phishing,arabic,tn_curated_manual
94,منظومة البريد التونسي تطلب التحقق الأمني، أدخل رقم البطاقة وكلمة المرور. [variant-44],phishing,arabic,tn_curated_manual
95,تم حجز مخالفة مرورية باسمك، سددها الآن عبر منصة الدفع المرفقة. [variant-45],phishing,arabic,tn_curated_manual
96,حسابك في STB يحتاج إعادة تنشيط عاجلة، اضغط الرابط وأكمل التحقق. [variant-46],phishing,arabic,tn_curated_manual
97,فزت بمكافأة من Ooredoo، لتفعيلها أدخل بياناتك البنكية في النموذج. [variant-47],phishing,arabic,tn_curated_manual
98,خدمة Tunisie Telecom ستتوقف، أكد بيانات الاشتراك فوراً. [variant-48],phishing,arabic,tn_curated_manual
99,تم تعليق ملفك في CNSS، يرجى المصادقة عبر هذا الرابط لتجنب الإيقاف. [variant-49],phishing,arabic,tn_curated_manual
100,تنبيه أمني من BIAT: قم بتغيير رمزك السري عبر البوابة الجديدة. [variant-50],phishing,arabic,tn_curated_manual
101,Alerte sécurité BIAT: votre compte sera suspendu sans validation immédiate via ce lien. [variant-1],phishing,french,tn_curated_manual
102,"Tunisie Telecom: facture impayée, régularisez maintenant sur le portail sécurisé. [variant-2]",phishing,french,tn_curated_manual
103,Poste Tunisienne: vérification obligatoire de votre identité avant 22h. [variant-3],phishing,french,tn_curated_manual
104,"STB informe d'une activité suspecte, reconnectez-vous pour confirmer vos données. [variant-4]",phishing,french,tn_curated_manual
105,"Ooredoo Tunisie: vous avez gagné un bon, renseignez votre carte pour l'activer. [variant-5]",phishing,french,tn_curated_manual
106,"ANPE: votre dossier est incomplet, envoyez CIN et mot de passe sur la plateforme. [variant-6]",phishing,french,tn_curated_manual
107,"Douane tunisienne: colis bloqué, paiement requis sous 24h. [variant-7]",phishing,french,tn_curated_manual
108,"CNAM: votre carte est expirée, mettez à jour les informations personnelles. [variant-8]",phishing,french,tn_curated_manual
109,"Service e-dinar: compte temporairement gelé, réactivez-le immédiatement. [variant-9]",phishing,french,tn_curated_manual
110,Alerte gouvernementale: taxe urgente à payer via ce formulaire officiel. [variant-10],phishing,french,tn_curated_manual
111,Alerte sécurité BIAT: votre compte sera suspendu sans validation immédiate via ce lien. [variant-11],phishing,french,tn_curated_manual
112,"Tunisie Telecom: facture impayée, régularisez maintenant sur le portail sécurisé. [variant-12]",phishing,french,tn_curated_manual
113,Poste Tunisienne: vérification obligatoire de votre identité avant 22h. [variant-13],phishing,french,tn_curated_manual
114,"STB informe d'une activité suspecte, reconnectez-vous pour confirmer vos données. [variant-14]",phishing,french,tn_curated_manual
115,"Ooredoo Tunisie: vous avez gagné un bon, renseignez votre carte pour l'activer. [variant-15]",phishing,french,tn_curated_manual
116,"ANPE: votre dossier est incomplet, envoyez CIN et mot de passe sur la plateforme. [variant-16]",phishing,french,tn_curated_manual
117,"Douane tunisienne: colis bloqué, paiement requis sous 24h. [variant-17]",phishing,french,tn_curated_manual
118,"CNAM: votre carte est expirée, mettez à jour les informations personnelles. [variant-18]",phishing,french,tn_curated_manual
119,"Service e-dinar: compte temporairement gelé, réactivez-le immédiatement. [variant-19]",phishing,french,tn_curated_manual
120,Alerte gouvernementale: taxe urgente à payer via ce formulaire officiel. [variant-20],phishing,french,tn_curated_manual
121,Alerte sécurité BIAT: votre compte sera suspendu sans validation immédiate via ce lien. [variant-21],phishing,french,tn_curated_manual
122,"Tunisie Telecom: facture impayée, régularisez maintenant sur le portail sécurisé. [variant-22]",phishing,french,tn_curated_manual
123,Poste Tunisienne: vérification obligatoire de votre identité avant 22h. [variant-23],phishing,french,tn_curated_manual
124,"STB informe d'une activité suspecte, reconnectez-vous pour confirmer vos données. [variant-24]",phishing,french,tn_curated_manual
125,"Ooredoo Tunisie: vous avez gagné un bon, renseignez votre carte pour l'activer. [variant-25]",phishing,french,tn_curated_manual
126,"ANPE: votre dossier est incomplet, envoyez CIN et mot de passe sur la plateforme. [variant-26]",phishing,french,tn_curated_manual
127,"Douane tunisienne: colis bloqué, paiement requis sous 24h. [variant-27]",phishing,french,tn_curated_manual
128,"CNAM: votre carte est expirée, mettez à jour les informations personnelles. [variant-28]",phishing,french,tn_curated_manual
129,"Service e-dinar: compte temporairement gelé, réactivez-le immédiatement. [variant-29]",phishing,french,tn_curated_manual
130,Alerte gouvernementale: taxe urgente à payer via ce formulaire officiel. [variant-30],phishing,french,tn_curated_manual
131,Alerte sécurité BIAT: votre compte sera suspendu sans validation immédiate via ce lien. [variant-31],phishing,french,tn_curated_manual
132,"Tunisie Telecom: facture impayée, régularisez maintenant sur le portail sécurisé. [variant-32]",phishing,french,tn_curated_manual
133,Poste Tunisienne: vérification obligatoire de votre identité avant 22h. [variant-33],phishing,french,tn_curated_manual
134,"STB informe d'une activité suspecte, reconnectez-vous pour confirmer vos données. [variant-34]",phishing,french,tn_curated_manual
135,"Ooredoo Tunisie: vous avez gagné un bon, renseignez votre carte pour l'activer. [variant-35]",phishing,french,tn_curated_manual
136,"ANPE: votre dossier est incomplet, envoyez CIN et mot de passe sur la plateforme. [variant-36]",phishing,french,tn_curated_manual
137,"Douane tunisienne: colis bloqué, paiement requis sous 24h. [variant-37]",phishing,french,tn_curated_manual
138,"CNAM: votre carte est expirée, mettez à jour les informations personnelles. [variant-38]",phishing,french,tn_curated_manual
139,"Service e-dinar: compte temporairement gelé, réactivez-le immédiatement. [variant-39]",phishing,french,tn_curated_manual
140,Alerte gouvernementale: taxe urgente à payer via ce formulaire officiel. [variant-40],phishing,french,tn_curated_manual
141,Alerte sécurité BIAT: votre compte sera suspendu sans validation immédiate via ce lien. [variant-41],phishing,french,tn_curated_manual
142,"Tunisie Telecom: facture impayée, régularisez maintenant sur le portail sécurisé. [variant-42]",phishing,french,tn_curated_manual
143,Poste Tunisienne: vérification obligatoire de votre identité avant 22h. [variant-43],phishing,french,tn_curated_manual
144,"STB informe d'une activité suspecte, reconnectez-vous pour confirmer vos données. [variant-44]",phishing,french,tn_curated_manual
145,"Ooredoo Tunisie: vous avez gagné un bon, renseignez votre carte pour l'activer. [variant-45]",phishing,french,tn_curated_manual
146,"ANPE: votre dossier est incomplet, envoyez CIN et mot de passe sur la plateforme. [variant-46]",phishing,french,tn_curated_manual
147,"Douane tunisienne: colis bloqué, paiement requis sous 24h. [variant-47]",phishing,french,tn_curated_manual
148,"CNAM: votre carte est expirée, mettez à jour les informations personnelles. [variant-48]",phishing,french,tn_curated_manual
149,"Service e-dinar: compte temporairement gelé, réactivez-le immédiatement. [variant-49]",phishing,french,tn_curated_manual
150,Alerte gouvernementale: taxe urgente à payer via ce formulaire officiel. [variant-50],phishing,french,tn_curated_manual
